Activity Date,Activity Name,Activity ID,Type,Equipment,Distance,Total Time,Moving Time,Avg Speed,Max Speed,Avg Power,Elevation Gain,Avg Grade,Kudos,Comments,Photos,Riders,Commute,Trainer,Description
"Oct 16, 2020 4:12 PM",Afternoon Run,4204053246,Run,,6.65,01:10:41,01:10:16,5.7,10.7,0,1138,171.1,1,0,0,1,,,
"Oct 20, 2020 1:52 PM",Afternoon Run,4221825680,Run,,6.77,01:09:13,01:09:02,5.9,10.5,0,1089,160.9,0,0,0,1,,,
"Nov 26, 2020 11:54 AM",Lunch Hike,4395016094,Hike,,4.6,01:19:30,01:19:30,3.5,6.9,0,1654,359.8,2,0,0,1,,,
"Nov 27, 2020 11:55 AM",Lunch Hike,4399108318,Hike,,6.07,02:07:23,02:05:25,2.9,6.7,0,1995,328.5,1,0,0,1,,,
"Nov 29, 2020 11:54 AM",Lunch Hike,4409510770,Hike,,4.56,01:22:00,01:21:45,3.3,7.4,0,1562,342.2,1,0,0,1,,,
"Nov 30, 2020 12:11 PM",Lunch Hike,4413287151,Hike,,4.52,01:15:45,01:14:36,3.6,6.7,0,1581,349.7,1,0,0,1,,,
"Dec 1, 2020 9:53 AM",Morning Hike,4417161019,Hike,,4.66,01:43:06,01:41:21,2.8,7.2,0,2146,460.4,1,0,0,1,,,
"Dec 2, 2020 11:46 AM",Lunch Hike,4422055084,Hike,,4.64,01:43:12,01:42:51,2.7,5.8,0,2198,473.4,0,0,0,1,,,
"Dec 4, 2020 11:52 AM",Lunch Hike,4429817583,Hike,,4.28,01:39:58,01:39:38,2.6,8.7,0,2156,504.1,0,0,0,1,,,
"Dec 5, 2020 11:49 AM",Lunch Hike,4434421570,Hike,,4.26,01:40:38,01:38:49,2.6,10.5,0,2185,512.8,1,0,0,1,,,
"Dec 6, 2020 11:43 AM",Lunch Hike,4439474501,Hike,,4.27,01:40:46,01:37:51,2.6,7.2,0,2159,505.4,0,0,0,1,,,
"Dec 7, 2020 11:55 AM",Lunch Hike,4443181359,Hike,,4.21,01:35:36,01:35:07,2.7,6.7,0,2142,508.4,0,0,0,1,,,
"Dec 8, 2020 3:09 PM",Afternoon Hike,4448205435,Hike,,4.23,01:34:04,01:34:04,2.7,7.6,0,2110,499.2,0,0,0,1,,,
"Dec 9, 2020 11:58 AM",Lunch Hike,4451725927,Hike,,4.25,01:31:05,01:31:05,2.8,5.8,0,2106,495.3,1,0,0,1,,,
"Dec 10, 2020 11:47 AM",Lunch Hike,4455771872,Hike,,4.26,01:33:11,01:33:11,2.7,8.1,0,2133,500.6,1,0,0,1,,,
"Dec 11, 2020 12:18 PM",Lunch Hike,4459666243,Hike,,4.4,01:50:52,01:45:02,2.5,5.8,0,2136,485.5,1,0,0,1,,,
