STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-01,2.91,,0,0,0,35,41,25,320,340,12.1,15,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-02,1.57,,0,0,0,29,37,24,90,220,10.1,13,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-03,8.95,,0.14,0.4,0,36,44,27,310,310,31.1,40,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-04,6.49,,0,0,0,29,30,26,280,290,21,25.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-05,13.42,,0,0,0,22,28,11,110,100,25.1,33.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-06,1.57,,0,0,0,12,19,7,120,120,10.1,12.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-07,0.45,,0,0,0,18,24,15,280,190,4.9,6,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-08,0.22,,0,0,0,25,31,22,270,270,6,6.9,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-09,3.58,,0.02,0,0,31,39,27,250,240,23,25.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-10,4.25,,0.02,0.3,0,33,39,28,170,170,19.9,23,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-11,9.62,,0.17,0,0,38,44,33,290,280,25.9,35.1,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-12,4.47,,0.01,0.2,0,35,36,31,340,350,15,19.9,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-13,8.5,,0.03,0,0,38,46,32,300,290,28,33.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-14,4.47,,0,0,0,40,48,30,300,290,18.1,21.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-15,4.92,,0,0,0,35,48,25,10,10,15,19.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-16,0.45,,0,0,0,35,43,26,340,20,6,6,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-17,0.67,,0,0,0,29,41,20,260,260,6,6.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-18,1.12,,0,0,0,28,41,19,250,220,6.9,8.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-19,1.79,,0,0,0,26,40,17,240,250,10.1,12.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-20,0.67,,0,0,0,32,42,21,290,280,8.9,10.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-21,0,,0,0,0,27,40,18,40,280,2.9,6,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-22,0.89,,0,0,0,29,35,25,320,320,10.1,14.1,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-23,1.34,,0,0,0,30,41,21,340,290,6,6.9,1,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-24,1.12,,0,0,0,27,39,20,280,280,13,14.1,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-25,0.67,,0,0,0,25,28,16,300,310,6,6.9,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-26,6.49,,0,0,0,22,34,15,120,120,23.9,30,,,,,,,,
USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",2014-01-27,4.92,,0,0,0,29,38,17,140,140,14.1,15,,,,,,,,
