"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-01","6.49",,"0.00","0.0","0.0","56","84","42","  270","  270","28.0","34.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-02","9.62",,"0.00","0.0","0.0","68","86","45","  290","  290","32.0","40.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-03","5.59",,"0.00","0.0","0.0","70","90","49","  290","  280","23.0","27.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-04","2.91",,"0.00","0.0","0.0","69","94","50","  340","  260","8.1","11.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-05","4.47",,"0.00","0.0","0.0","70","95","50","  300","  300","23.9","29.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-06","4.25",,"0.00","0.0","0.0","68","91","48","  290","  290","23.0","28.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-07","6.49",,"0.03","0.0","0.0","62","67","40","   70","   80","25.9","36.9"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-08","4.47",,"0.00","0.0","0.0","46","63","31","   10","   10","14.1","19.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-09","1.79",,"0.00","0.0","0.0","51","78","33","  360","  290","10.1","15.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-10","2.24",,"0.00","0.0","0.0","59","85","39","   10","   10","12.1","14.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-11","2.68",,"0.00","0.0","0.0","63","87","43","   10","  320","14.1","16.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-12","1.79",,"0.00","0.0","0.0","65","86","45","  310","  310","10.1","12.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-13","1.34",,"0.00","0.0","0.0","61","75","45","  120","  110","8.1","8.9"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-14","0.89",,"0.00","0.0","0.0","57","74","44","  130","  130","8.1","8.9"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-15","0.89",,"0.00","0.0","0.0","57","76","41","  120","  120","6.0","6.9"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-16","1.57",,"0.00","0.0","0.0","58","79","41","  120","  130","8.1","10.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-17","1.12",,"0.00","0.0","0.0","58","75","41","  120","  130","8.1","10.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-18","1.79",,"0.00","0.0","0.0","57","72","43","  240","  240","18.1","23.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-19","4.70",,"0.11","0.0","0.0","60","66","51","  230","  230","16.1","19.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-20","4.03",,"0.00","0.0","0.0","55","71","45","  290","  310","15.0","19.9"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-21","1.12",,"0.00","0.0","0.0","55","80","39","  340","  350","10.1","13.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-22","2.91",,"0.00","0.0","0.0","55","73","41","  360","  350","15.0","18.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-23","2.01",,"0.00","0.0","0.0","57","74","45","  110","  130","8.9","12.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-24","5.82",,"0.01","0.0","0.0","57","65","41","  280","  290","23.9","30.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-25","4.03",,"0.09","0.0","0.0","47","60","33","  320","  290","13.0","27.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-26","9.84",,"0.06","0.0","0.0","52","60","45","  270","  250","23.9","30.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-27","5.82",,"0.00","0.0","0.0","51","64","40","  260","  270","18.1","21.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-28","2.24",,"0.00","0.0","0.0","48","69","33","  340","  140","6.9","10.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-29","2.01",,"0.00","0.0","0.0","54","79","36","  340","  190","6.9","11.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-09-30","3.36",,"0.00","0.0","0.0","57","79","37","   20","  360","15.0","18.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-01","1.12",,"0.00","0.0","0.0","54","70","37","  150","   60","6.9","16.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-02","2.01",,"0.00","0.0","0.0","58","78","43","   10","  360","12.1","15.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-03","1.34",,"0.00","0.0","0.0","57","76","40","  320","  160","6.9","8.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-04","4.47",,"0.00","0.0","0.0","56","79","39","  290","  290","25.1","30.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-05","4.47",,"0.00","0.0","0.0","57","78","37","  300","  340","17.0","23.9"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-06","1.34",,"0.00","0.0","0.0","57","80","40","  350","  350","8.9","10.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-07","0.22",,"0.00","0.0","0.0","59","80","41","  350","  340","8.9","10.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-08","4.70",,"0.00","0.0","0.0","57","77","37","  280","  260","21.9","25.9"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-09","3.36",,"0.00","0.0","0.0","57","77","41","  230","  220","17.0","23.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-10","5.14",,"0.09","0.0","0.0","50","64","33","  240","  270","30.0","40.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-11","6.93",,"0.04","0.0","0.0","47","53","41","  240","  240","23.0","28.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-12","9.62",,"0.21","0.0","0.0","49","58","41","  280","  280","25.1","32.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-13","7.16",,"0.23","0.0","0.0","43","53","36","  270","  280","31.1","48.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-14","7.61",,"0.13","0.0","0.0","46","53","38","  300","  260","28.0","33.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-15","5.82",,"0.01","0.0","0.0","42","53","35","  280","  280","28.0","33.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-16","4.70",,"0.17","0.0","0.0","45","57","38","  310","  320","19.9","28.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-17","5.82",,"0.38","0.0","0.0","50","50","40","  260","  260","15.0","18.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-18","6.49",,"0.12","0.0","0.0","39","42","33","  120","  100","17.0","19.9"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-19","4.03",,"0.27","0.0","0.0","42","53","38","  300","  290","17.0","21.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-20","5.14",,"0.03","0.0","0.0","46","52","38","  280","  260","14.1","17.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-21","8.05",,"0.22","0.4","0.0","41","50","32","  260","  260","23.9","30.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-22","11.41",,"0.00","0.0","0.0","31","34","24","  120","  120","23.9","28.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-23","4.47",,"0.67","8.4","0.0","26","28","20","  130","  140","14.1","17.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-24","11.63",,"0.33","5.4","13.0","25","28","11","  120","  120","21.9","25.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-25","4.70",,"0.00","0.0","10.0","11","20","-7","  120","  120","14.1","17.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-26","0.89",,"0.00","0.0","8.0","6","18","-5","  240","  250","6.0","6.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-27","1.12",,"0.00","0.0","6.0","20","36","14","  250","  230","6.9","8.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-28","1.12",,"0.00","0.0","5.1","25","40","16","  230","  230","6.9","10.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-29","1.34",,"0.00","0.0","3.1","30","46","20","  280","  260","8.1","12.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-30","5.59",,"0.03","0.0","2.0","32","53","19","  240","  260","42.9","59.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-10-31","3.36",,"0.00","0.0","1.2","40","49","26","  350","  260","8.1","10.1"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-11-01","1.12",,"0.00","0.0","0.0","35","49","24","  330","  260","6.0","6.0"
"USW00024153","MISSOULA INTERNATIONAL AIRPORT, MT US","2020-11-02","0.22",,"0.00","0.0","0.0","35","52","22","  300","  200","4.9","8.9"
